blocksize_bits,blocksize_kB,smallprime_faster,mediumstep_faster,vectorstep_faster,passes,elapsed_time,sample_duration,average
1048576,128,0,0,0,3,0.000412,0.000400,7281.553398
1048576,128,500,0,0,3,0.000419,0.000400,7159.904535
524288,64,0,0,0,3,0.000401,0.000400,7481.296758
524288,64,500,0,0,3,0.000426,0.000400,7042.253521
262144,32,0,0,0,4,0.000487,0.000400,8213.552361
262144,32,500,0,0,3,0.000404,0.000400,7425.742574
131072,16,0,0,0,3,0.000427,0.000400,7025.761124
131072,16,500,0,0,3,0.000401,0.000400,7481.296758
1048576,128,0,0,32,4,0.000434,0.000400,9216.589862
1048576,128,500,0,32,4,0.000427,0.000400,9367.681499
524288,64,0,0,32,4,0.000438,0.000400,9132.420091
524288,64,500,0,32,4,0.000418,0.000400,9569.377990
262144,32,0,0,32,4,0.000412,0.000400,9708.737864
262144,32,500,0,32,4,0.000431,0.000400,9280.742459
131072,16,0,0,32,4,0.000444,0.000400,9009.009009
131072,16,500,0,32,4,0.000436,0.000400,9174.311927
1048576,128,0,0,64,5,0.000451,0.000400,11086.474501
1048576,128,500,0,64,5,0.000461,0.000400,10845.986985
524288,64,0,0,64,5,0.000459,0.000400,10893.246187
524288,64,500,0,64,5,0.000469,0.000400,10660.980810
262144,32,0,0,64,5,0.000429,0.000400,11655.011655
262144,32,500,0,64,5,0.000465,0.000400,10752.688172
131072,16,0,0,64,5,0.000491,0.000400,10183.299389
131072,16,500,0,64,5,0.000476,0.000400,10504.201681
1048576,128,0,0,96,5,0.000412,0.000400,12135.922330
1048576,128,500,0,96,5,0.000432,0.000400,11574.074074
524288,64,0,0,96,5,0.000405,0.000400,12345.679012
524288,64,500,0,96,5,0.000416,0.000400,12019.230769
262144,32,0,0,96,6,0.000468,0.000400,12820.512821
262144,32,500,0,96,5,0.000422,0.000400,11848.341232
131072,16,0,0,96,5,0.000487,0.000400,10266.940452
131072,16,500,0,96,5,0.000422,0.000400,11848.341232
1048576,128,0,0,128,6,0.000480,0.000400,12500.000000
1048576,128,500,0,128,6,0.000471,0.000400,12738.853503
524288,64,0,0,128,6,0.000469,0.000400,12793.176972
524288,64,500,0,128,6,0.000468,0.000400,12820.512821
262144,32,0,0,128,6,0.000454,0.000400,13215.859031
262144,32,500,0,128,5,0.000412,0.000400,12135.922330
131072,16,0,0,128,4,0.000417,0.000400,9592.326139
131072,16,500,0,128,6,0.000476,0.000400,12605.042017
1048576,128,0,0,160,6,0.000463,0.000400,12958.963283
1048576,128,500,0,160,6,0.000470,0.000400,12765.957447
524288,64,0,0,160,5,0.000414,0.000400,12077.294686
524288,64,500,0,160,6,0.000457,0.000400,13129.102845
262144,32,0,0,160,5,0.000401,0.000400,12468.827930
262144,32,500,0,160,6,0.000474,0.000400,12658.227848
131072,16,0,0,160,4,0.000472,0.000400,8474.576271
131072,16,500,0,160,5,0.000403,0.000400,12406.947891
1048576,128,0,0,192,6,0.000466,0.000400,12875.536481
1048576,128,500,0,192,6,0.000457,0.000400,13129.102845
524288,64,0,0,192,6,0.000469,0.000400,12793.176972
524288,64,500,0,192,6,0.000457,0.000400,13129.102845
262144,32,0,0,192,5,0.000433,0.000400,11547.344111
262144,32,500,0,192,5,0.000408,0.000400,12254.901961
131072,16,0,0,192,4,0.000523,0.000400,7648.183556
131072,16,500,0,192,5,0.000401,0.000400,12468.827930
1048576,128,0,0,224,6,0.000468,0.000400,12820.512821
1048576,128,500,0,224,6,0.000471,0.000400,12738.853503
524288,64,0,0,224,6,0.000469,0.000400,12793.176972
524288,64,500,0,224,6,0.000475,0.000400,12631.578947
262144,32,0,0,224,5,0.000461,0.000400,10845.986985
262144,32,500,0,224,5,0.000467,0.000400,10706.638116
131072,16,0,0,224,3,0.000426,0.000400,7042.253521
131072,16,500,0,224,5,0.000413,0.000400,12106.537530
1048576,128,0,0,256,5,0.000423,0.000400,11820.330969
1048576,128,500,0,256,5,0.000420,0.000400,11904.761905
524288,64,0,0,256,5,0.000407,0.000400,12285.012285
524288,64,500,0,256,5,0.000406,0.000400,12315.270936
262144,32,0,0,256,4,0.000409,0.000400,9779.951100
262144,32,500,0,256,5,0.000442,0.000400,11312.217195
131072,16,0,0,256,3,0.000488,0.000400,6147.540984
131072,16,500,0,256,5,0.000419,0.000400,11933.174224
1048576,128,0,16,0,4,0.000529,0.000400,7561.436673
1048576,128,500,16,0,4,0.000525,0.000400,7619.047619
524288,64,0,16,0,3,0.000422,0.000400,7109.004739
524288,64,500,16,0,4,0.000527,0.000400,7590.132827
262144,32,0,16,0,4,0.000484,0.000400,8264.462810
262144,32,500,16,0,4,0.000528,0.000400,7575.757576
131072,16,0,16,0,3,0.000426,0.000400,7042.253521
131072,16,500,16,0,4,0.000531,0.000400,7532.956685
1048576,128,0,16,32,4,0.000467,0.000400,8565.310493
1048576,128,500,16,32,4,0.000419,0.000400,9546.539379
524288,64,0,16,32,4,0.000436,0.000400,9174.311927
524288,64,500,16,32,4,0.000421,0.000400,9501.187648
262144,32,0,16,32,5,0.000493,0.000400,10141.987830
262144,32,500,16,32,4,0.000424,0.000400,9433.962264
131072,16,0,16,32,4,0.000445,0.000400,8988.764045
131072,16,500,16,32,4,0.000440,0.000400,9090.909091
1048576,128,0,16,64,5,0.000458,0.000400,10917.030568
1048576,128,500,16,64,5,0.000456,0.000400,10964.912281
524288,64,0,16,64,5,0.000454,0.000400,11013.215859
524288,64,500,16,64,5,0.000475,0.000400,10526.315789
262144,32,0,16,64,6,0.000479,0.000400,12526.096033
262144,32,500,16,64,5,0.000453,0.000400,11037.527594
131072,16,0,16,64,4,0.000451,0.000400,8869.179601
131072,16,500,16,64,5,0.000465,0.000400,10752.688172
1048576,128,0,16,96,5,0.000419,0.000400,11933.174224
